Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,month,day,year,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,DewPoint_y,ResultSpeed_y,ResultDir_y
"4100 North Oak Park Avenue, Chicago, IL 60634, USA",1,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"7900 West Foster Avenue, Chicago, IL 60656, USA",2,79,120,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"7900 West Foster Avenue, Chicago, IL 60656, USA",3,79,120,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1500 West Webster Avenue, Chicago, IL 60614, USA",2,15,138,34,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1500 West Webster Avenue, Chicago, IL 60614, USA",3,15,138,34,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1500 West Webster Avenue, Chicago, IL 60614, USA",1,15,138,34,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2500 West Grand Avenue, Chicago, IL 60654, USA",3,25,123,35,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1100 Roosevelt Road, Chicago, IL 60608, USA",2,11,134,37,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1100 Roosevelt Road, Chicago, IL 60608, USA",3,11,134,37,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1100 Roosevelt Road, Chicago, IL 60608, USA",1,11,134,37,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1100 West Chicago Avenue, Chicago, IL 60642, USA",3,11,117,38,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2100 North Stave Street, Chicago, IL 60647, USA",2,21,45,39,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2100 North Stave Street, Chicago, IL 60647, USA",3,21,45,39,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2200 North Cannon Drive, Chicago, IL 60614, USA",3,22,18,41,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2200 West 113th Street, Chicago, IL 60643, USA",3,22,95,68,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,4,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1700 West 95th Street, Chicago, IL 60643, USA",2,17,112,77,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2200 West 89th Street, Chicago, IL 60643, USA",2,22,111,80,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2200 West 89th Street, Chicago, IL 60643, USA",3,22,111,80,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2200 West 89th Street, Chicago, IL 60643, USA",1,22,111,80,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2,65,36,96,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"6500 North Oak Park Avenue, Chicago, IL 60631, USA",3,65,36,96,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,9,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1500 North Long Avenue, Chicago, IL 60651, USA",3,15,29,106,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"8900 South Carpenter Street, Chicago, IL 60620, USA",3,89,57,112,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"9100 West Higgins Avenue, Chicago, IL 60656, USA",3,91,126,10,"9100  W HIGGINS AVE, Chicago, IL",41.981964000000005,-87.812827,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",3,36,39,11,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"7200 North Oketo Avenue, Chicago, IL 60631, USA",3,72,38,16,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"3800 North California Avenue, Chicago, IL 60618, USA",3,38,16,19,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.69845699999999,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4900 West Balmoral Avenue, Chicago, IL 60630, USA",3,49,115,20,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"5800 North Western Avenue, Chicago, IL 60659, USA",3,58,48,22,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"5000 South Central Avenue, Chicago, IL 60638, USA",2,50,58,24,"5000  S CENTRAL AVE, Chicago, IL",41.801497999999995,-87.763416,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1400 North Sacramento Avenue, Chicago, IL 60622, USA",3,14,22,25,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"South Vincennes Avenue, Chicago, IL, USA",3,10,90,70,"1000  S VINCENNES, Chicago, IL",41.723195000000004,-87.64997,5,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",2,11,50,71,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",3,11,50,71,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,7,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1100 South State Street, Chicago, IL 60605, USA",2,11,85,76,"1100  S STATE ST, Chicago, IL",41.869215999999994,-87.627561,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4200 West 127th Street, Alsip, IL 60803, USA",2,42,98,92,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4200 West 127th Street, Alsip, IL 60803, USA",3,42,98,92,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,4,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4200 West 127th Street, Alsip, IL 60803, USA",1,42,98,92,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"5300 West Agatite Avenue, Chicago, IL 60630, USA",2,53,114,94,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"5300 West Agatite Avenue, Chicago, IL 60630, USA",3,53,114,94,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4000 North Austin Avenue, Chicago, IL 60634, USA",2,40,14,95,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4000 North Austin Avenue, Chicago, IL 60634, USA",3,40,14,95,"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,8,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"Chicago, IL, USA",3,43,13,98,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114000000004,-87.629798,3,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4200 North Richmond Street, Chicago, IL 60618, USA",2,42,41,99,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4200 North Richmond Street, Chicago, IL 60618, USA",3,42,41,99,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2800 North Francisco Avenue, Chicago, IL 60618, USA",3,28,20,100,"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1500 West Granville Avenue, Chicago, IL 60660, USA",2,15,124,102,"1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"1800 West Farwell Avenue, Chicago, IL 60626, USA",3,18,119,103,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"7000 West Armitage Avenue, Chicago, IL 60707, USA",2,70,0,104,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"7000 West Armitage Avenue, Chicago, IL 60707, USA",3,70,0,104,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,10,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2500 South Millard Avenue, Chicago, IL 60623, USA",3,25,77,105,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"2100 North Lawler Avenue, Chicago, IL 60639, USA",3,21,27,107,"2100  N LAWLER AVE, Chicago, IL",41.918704999999996,-87.752329,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"3500 West 116th Street, Chicago, IL 60655, USA",2,35,96,111,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,3,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"3500 West 116th Street, Chicago, IL 60655, USA",3,35,96,111,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,8,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",2,93,65,115,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725516999999996,-87.61425799999999,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"3700 North Kedvale Avenue, Chicago, IL 60641, USA",2,37,23,123,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8,2,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"3700 North Kedvale Avenue, Chicago, IL 60641, USA",3,37,23,123,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4500 North Campbell Avenue, Chicago, IL 60625, USA",3,45,17,128,"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,9,1,0,6,5,2007,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
"4100 North Oak Park Avenue, Chicago, IL 60634, USA",2,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"4100 North Oak Park Avenue, Chicago, IL 60634, USA",3,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,4,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"4100 North Oak Park Avenue, Chicago, IL 60634, USA",4,41,36,1,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"6200 North Mandell Avenue, Chicago, IL 60646, USA",2,62,30,8,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"6200 North Mandell Avenue, Chicago, IL 60646, USA",3,62,30,8,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,4,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"7900 West Foster Avenue, Chicago, IL 60656, USA",3,79,120,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"1500 West Webster Avenue, Chicago, IL 60614, USA",2,15,138,34,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"1500 West Webster Avenue, Chicago, IL 60614, USA",3,15,138,34,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2500 West Grand Avenue, Chicago, IL 60654, USA",2,25,123,35,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2500 West Grand Avenue, Chicago, IL 60654, USA",3,25,123,35,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,6,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"1100 Roosevelt Road, Chicago, IL 60608, USA",2,11,134,37,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"1100 West Chicago Avenue, Chicago, IL 60642, USA",3,11,117,38,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2100 North Stave Street, Chicago, IL 60647, USA",3,21,45,39,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2200 West 113th Street, Chicago, IL 60643, USA",2,22,95,68,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2200 West 113th Street, Chicago, IL 60643, USA",2,22,95,68,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2200 West 113th Street, Chicago, IL 60643, USA",3,22,95,68,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,2,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"2200 West 89th Street, Chicago, IL 60643, USA",3,22,111,80,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"North Streeter Drive, Chicago, IL 60611, USA",2,53,46,91,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"North Streeter Drive, Chicago, IL 60611, USA",3,53,46,91,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"6500 North Oak Park Avenue, Chicago, IL 60631, USA",2,65,36,96,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"6500 North Oak Park Avenue, Chicago, IL 60631, USA",3,65,36,96,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
"7500 North Oakley Avenue, Chicago, IL 60645, USA",2,75,37,101,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,2,0,6,26,2007,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
