Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-06-21,1,77,61,69,51,60,0,4,416,1930,0.01,29.36,30.08,3.5,3,10.7
2007-06-22,1,76,61,69,50,58,0,4,417,1931,0.005,29.33,30.06,7.8,6,8.7
2007-06-23,1,67,62,65,58,61,0,0,417,1931,0.05,29.23,29.96,7.6,12,9.0
2007-06-24,1,77,63,70,62,65,0,5,417,1931,0.0,29.26,29.97,7.0,9,8.0
2007-06-25,1,89,65,77,66,70,0,12,417,1931,0.0,29.38,30.07,3.9,14,6.8
2007-06-26,1,92,70,81,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
2007-06-27,1,91,71,81,70,72,0,16,418,1931,0.15,29.29,30.02,7.5,24,8.8
2007-06-28,1,74,58,66,55,60,0,1,419,1931,0.0,29.41,30.09,11.9,3,12.5
2007-06-29,1,70,56,63,55,59,2,0,419,1931,0.0,29.41,30.13,7.6,2,8.3
2007-06-30,1,79,54,67,46,56,0,2,419,1931,0.0,29.41,30.13,4.9,3,5.8
2007-07-01,1,75,54,65,52,58,0,0,420,1931,0.0,29.51,30.23,8.6,4,8.6
2007-07-02,1,79,53,66,50,58,0,1,420,1931,0.0,29.49,30.22,5.9,14,8.1
2007-07-03,1,83,60,72,57,63,0,7,421,1931,0.4,29.31,30.06,6.7,21,7.3
2007-07-04,1,86,67,77,65,69,0,12,422,1930,0.16,29.18,29.9,4.6,27,8.2
2007-07-05,1,89,71,80,60,67,0,15,422,1930,0.0,29.24,29.94,6.4,31,8.1
2007-07-06,1,86,66,76,57,64,0,11,423,1930,0.0,29.32,30.03,3.2,5,5.5
2007-07-07,1,90,64,77,63,69,0,12,423,1930,0.0,29.18,29.91,8.4,22,8.6
2007-07-08,1,94,75,85,67,72,0,20,424,1929,0.0,29.05,29.77,12.9,24,13.1
2007-07-09,1,94,70,82,66,70,0,17,425,1929,0.3,29.11,29.8,4.9,24,8.8
2007-07-10,1,89,69,79,67,70,0,14,425,1929,0.43,29.06,29.77,8.6,23,10.5
2007-07-11,1,77,62,70,51,59,0,5,426,1928,0.0,29.23,29.93,8.8,30,10.9
2007-07-12,1,80,61,71,51,59,0,6,427,1928,0.0,29.22,29.93,9.4,29,11.1
2007-07-13,1,78,58,68,52,58,0,3,428,1927,0.0,29.26,29.98,1.4,1,5.3
2007-07-14,1,84,61,73,55,62,0,8,428,1927,0.0,29.08,29.79,8.3,26,13.2
2007-07-15,1,82,60,71,53,61,0,6,429,1926,0.0,29.19,29.89,2.1,29,4.9
2007-07-16,1,82,65,74,60,65,0,9,430,1925,0.39,29.25,29.96,4.4,24,5.2
2007-07-17,1,83,68,76,66,69,0,11,431,1925,0.11,29.18,29.9,5.2,23,6.5
2007-07-18,1,85,69,77,68,71,0,12,432,1924,1.55,29.11,29.84,9.1,24,10.1
2007-07-19,1,83,63,73,63,66,0,8,433,1923,0.16,29.21,29.9,7.0,1,11.9
2007-07-20,1,75,58,67,53,59,0,2,433,1923,0.0,29.44,30.14,8.6,3,9.1
2007-07-21,1,74,58,66,52,58,0,1,434,1922,0.0,29.51,30.22,6.5,3,7.4
2007-07-22,1,81,58,70,55,61,0,5,435,1921,0.0,29.49,30.21,1.7,16,3.3
2007-07-23,1,83,60,72,55,63,0,7,436,1920,0.0,29.37,30.1,3.2,9,4.0
2007-07-24,1,82,65,74,58,64,0,9,437,1919,0.0,29.32,30.04,3.1,20,5.2
2007-07-25,1,85,71,78,61,67,0,13,438,1918,0.005,29.29,30.0,5.8,25,6.6
2007-07-26,1,83,66,75,65,68,0,10,439,1918,0.19,29.19,29.92,7.2,22,9.4
2007-07-27,1,83,70,77,68,70,0,12,440,1917,0.17,29.11,29.82,3.0,3,7.9
2007-07-28,1,80,66,73,65,68,0,8,441,1916,0.0,29.23,29.93,10.0,3,10.2
2007-07-29,1,85,63,74,57,64,0,9,442,1915,0.0,29.28,29.99,4.8,5,5.7
2007-07-30,1,89,62,76,55,64,0,11,443,1914,0.0,29.33,30.03,3.8,6,4.3
2007-07-31,1,91,68,80,61,68,0,15,444,1913,0.0,29.33,30.04,3.3,4,4.9
2007-08-01,1,92,69,81,62,69,0,16,445,1911,0.0,29.29,30.0,3.5,9,4.1
2007-08-02,1,91,70,81,66,71,0,16,446,1910,0.0,29.26,29.97,5.5,26,5.9
2007-08-03,1,90,69,80,56,66,0,15,447,1909,0.0,29.31,30.02,2.7,3,5.7
2007-08-04,1,81,64,73,58,64,0,8,448,1908,0.03,29.31,30.03,5.7,8,6.1
2007-08-05,1,88,67,78,71,73,0,13,449,1907,1.43,29.08,29.81,5.4,21,9.6
2007-08-06,1,88,74,81,72,74,0,16,450,1906,0.26,29.13,29.83,1.6,10,4.9
2007-08-07,1,91,72,82,73,76,0,17,451,1904,1.31,29.06,29.76,6.2,25,9.0
2007-08-08,1,87,73,80,71,73,0,15,452,1903,0.06,29.13,29.83,3.0,3,6.9
2007-08-09,1,84,72,78,71,73,0,13,453,1902,0.05,29.13,29.84,2.5,29,6.0
2007-08-10,1,86,70,78,68,72,0,13,454,1900,0.0,29.26,29.96,4.5,2,5.9
2007-08-11,1,89,67,78,65,70,0,13,455,1859,0.0,29.31,30.02,3.2,19,3.9
2007-08-12,1,88,67,78,67,71,0,13,456,1858,0.29,29.34,30.06,1.7,6,5.4
2007-08-13,1,81,65,73,57,64,0,8,457,1856,0.0,29.39,30.11,6.2,6,6.9
2007-08-14,1,84,65,75,67,70,0,10,458,1855,0.41,29.23,29.93,5.9,25,8.0
2007-08-15,1,80,71,76,67,70,0,11,459,1854,0.23,29.17,29.89,3.4,7,5.8
2007-08-16,1,77,65,71,64,67,0,6,500,1852,0.0,29.28,29.97,3.6,1,5.7
2007-08-17,1,79,60,70,54,61,0,5,501,1851,0.0,29.41,30.1,5.9,32,6.8
2007-08-18,1,68,59,64,54,58,1,0,502,1849,0.09,29.44,30.16,6.4,12,8.1
2007-08-19,1,68,62,65,62,64,0,0,503,1848,1.33,29.24,29.99,6.0,10,7.4
2007-08-20,1,78,68,73,68,69,0,8,504,1846,0.91,29.15,29.87,0.5,12,5.7
2007-08-21,1,87,69,78,70,72,0,13,505,1845,0.005,29.21,29.91,3.8,18,6.0
2007-08-22,1,90,69,80,71,73,0,15,506,1843,0.37,29.23,29.94,5.3,21,9.5
2007-08-23,1,87,69,78,69,71,0,13,508,1842,2.35,29.15,29.87,9.6,21,11.7
2007-08-24,1,80,69,75,67,69,0,10,509,1840,0.24,29.11,29.82,5.8,25,7.1
2007-08-25,1,79,64,72,63,66,0,7,510,1839,0.34,29.23,29.93,3.0,36,5.6
2007-08-26,1,79,60,70,55,61,0,5,511,1837,0.0,29.38,30.08,3.6,11,5.4
2007-08-27,1,79,60,70,60,64,0,5,512,1835,0.0,29.36,30.07,6.5,17,7.4
2007-08-28,1,91,67,79,66,70,0,14,513,1834,0.0,29.28,29.99,9.0,20,9.5
2007-08-29,1,85,68,77,65,69,0,12,514,1832,0.005,29.34,30.04,5.6,3,8.2
2007-08-30,1,75,57,66,54,60,0,1,515,1831,0.0,29.47,30.18,9.1,2,9.9
2007-08-31,1,77,57,67,52,59,0,2,516,1829,0.0,29.47,30.19,3.9,4,5.2
2007-09-01,1,81,57,69,55,61,0,4,517,1827,0.0,29.49,30.22,4.2,11,5.0
2007-09-02,1,85,61,73,57,63,0,8,518,1826,0.0,29.41,30.15,4.2,21,5.0
2007-09-03,1,88,66,77,61,67,0,12,519,1824,0.0,29.36,30.09,2.0,27,5.8
2007-09-04,1,89,63,76,60,66,0,11,520,1822,0.0,29.28,30.0,2.8,22,4.3
2007-09-05,1,90,66,78,63,69,0,13,521,1821,0.005,29.24,29.96,6.4,19,6.5
2007-09-06,1,82,73,78,67,70,0,13,522,1819,0.18,29.21,29.92,11.9,20,12.1
2007-09-07,1,84,70,77,68,70,0,12,523,1817,0.19,29.15,29.85,10.4,23,13.9
2007-09-08,1,78,64,71,57,63,0,6,524,1815,0.0,29.3,30.0,6.0,5,7.2
2007-09-09,1,80,63,72,59,63,0,7,525,1814,0.0,29.36,30.06,9.2,3,9.9
2007-09-10,1,74,54,64,58,60,1,0,526,1812,0.36,29.3,30.04,7.2,2,9.0
2007-09-11,1,71,50,61,44,52,4,0,527,1810,0.005,29.2,29.92,11.7,29,13.5
2007-09-12,1,67,46,57,42,49,8,0,528,1809,0.0,29.4,30.12,1.8,3,5.6
2007-09-13,1,78,50,64,45,54,1,0,529,1807,0.0,29.23,29.99,8.3,19,8.5
2007-09-14,1,66,45,56,39,48,9,0,530,1805,0.0,29.36,30.05,12.1,32,13.4
2007-09-15,1,61,39,50,33,43,15,0,531,1803,0.0,29.56,30.28,1.4,33,5.9
2007-09-16,1,71,44,58,40,49,7,0,532,1760,0.0,29.46,30.19,6.8,18,7.4
2007-09-17,1,80,52,66,49,57,0,1,533,1758,0.0,29.39,30.12,11.7,17,12.1
2007-09-18,1,88,63,76,58,65,0,11,535,1756,0.0,29.34,30.06,12.9,19,13.1
2007-09-19,1,84,65,75,59,65,0,10,536,1755,0.0,29.41,30.11,5.0,26,9.7
2007-09-20,1,78,60,69,59,63,0,4,537,1753,0.0,29.39,30.12,5.3,7,6.6
2007-09-21,1,88,64,76,59,66,0,11,538,1751,0.0,29.18,29.9,10.3,21,12.4
2007-09-22,1,74,51,63,43,53,2,0,539,1749,0.0,29.42,30.12,2.6,3,6.8
2007-09-23,1,84,50,67,50,58,0,2,540,1748,0.0,29.43,30.16,4.6,13,5.3
2007-09-24,1,90,68,79,63,68,0,14,541,1746,0.0,29.27,29.99,11.4,19,11.9
2007-09-25,1,85,63,74,65,69,0,9,542,1744,0.27,29.23,29.95,7.9,23,10.5
2007-09-26,1,69,53,61,50,55,4,0,543,1742,0.09,29.31,30.03,4.3,1,6.6
2007-09-27,1,75,49,62,49,55,3,0,544,1741,0.005,29.26,29.97,4.9,24,6.5
2007-09-28,1,73,53,63,46,53,2,0,545,1739,0.0,29.47,30.17,2.3,4,7.1
2007-09-29,1,80,50,65,46,55,0,0,546,1737,0.0,29.5,30.23,9.5,17,9.8
2007-09-30,1,83,59,71,49,59,0,6,547,1735,0.14,29.36,30.1,14.4,19,14.6
2007-10-01,1,69,59,64,59,61,1,0,548,1734,0.29,29.28,30.0,6.1,22,8.1
2007-10-02,1,78,57,68,59,63,0,3,549,1732,0.09,29.18,29.92,10.8,19,11.1
2007-10-03,1,74,55,65,48,56,0,0,550,1730,0.0,29.28,29.98,5.9,26,7.1
2007-10-04,1,82,51,67,56,61,0,2,552,1729,0.0,29.34,30.04,3.9,17,4.6
2007-10-05,1,84,62,73,65,68,0,8,553,1727,0.0,29.36,30.08,7.0,17,7.0
2007-10-06,1,87,69,78,67,70,0,13,554,1725,0.0,29.33,30.04,6.9,20,7.4
2007-10-07,1,87,67,77,66,70,0,12,555,1724,0.0,29.31,30.03,5.2,19,5.9
2007-10-08,1,87,60,74,61,66,0,9,556,1722,0.0,29.23,29.93,7.7,24,10.1
2007-10-09,1,76,49,63,44,53,2,0,557,1720,0.0,29.21,29.94,11.5,28,12.8
2007-10-10,1,54,47,51,38,44,14,0,558,1719,0.005,29.21,29.93,15.1,31,15.5
2007-10-11,1,54,46,50,39,45,15,0,559,1717,0.0,29.28,30.01,11.9,36,12.9
2007-10-12,1,56,41,49,35,43,16,0,600,1715,0.0,29.28,30.02,3.4,35,4.6
2007-10-13,1,59,40,50,41,47,15,0,602,1714,0.0,29.31,30.04,2.7,20,3.5
2007-10-14,1,61,53,57,49,53,8,0,603,1712,0.15,29.34,30.06,5.6,11,6.6
2007-10-15,1,74,51,63,52,57,2,0,604,1711,0.07,29.21,29.95,4.1,14,5.6
2007-10-16,1,67,52,60,54,57,5,0,605,1709,0.24,29.16,29.88,6.4,21,7.5
2007-10-17,1,72,47,60,53,57,5,0,606,1707,0.04,29.07,29.83,9.3,14,9.8
2007-10-18,1,78,59,69,56,61,0,4,607,1706,0.3,28.59,29.34,17.2,19,18.9
2007-10-19,1,60,52,56,48,52,9,0,608,1704,0.01,28.75,29.44,16.2,24,16.7
2007-10-20,1,73,47,60,43,52,5,0,610,1703,0.0,29.02,29.71,10.9,21,12.0
2007-10-21,1,80,60,70,47,57,0,5,611,1701,0.0,29.08,29.78,18.0,20,18.2
2007-10-22,1,67,46,57,47,50,8,0,612,1660,0.16,29.26,29.97,5.2,36,9.2
2007-10-23,1,58,43,51,36,44,14,0,613,1658,0.0,29.2,29.93,5.2,31,8.2
2007-10-24,1,55,43,49,35,42,16,0,614,1657,0.0,29.46,30.16,13.3,2,14.5
2007-10-25,1,55,45,50,39,46,15,0,616,1656,0.005,29.47,30.2,13.9,6,14.1
2007-10-26,1,65,53,59,48,52,6,0,617,1654,0.33,29.31,30.07,6.2,5,6.9
2007-10-27,1,55,37,46,38,45,19,0,618,1653,0.01,29.56,30.25,9.4,32,9.9
2007-10-28,1,56,34,45,30,39,20,0,619,1651,0.0,29.79,30.52,3.4,23,4.2
2007-10-29,1,61,39,50,32,42,15,0,620,1650,0.0,29.63,30.4,10.2,22,10.4
2007-10-30,1,66,41,54,38,46,11,0,622,1649,0.0,29.43,30.2,12.2,20,12.5
2007-10-31,1,62,41,52,37,46,13,0,623,1647,0.0,29.3,30.02,12.2,25,14.3
2008-05-01,1,74,48,61,51,56,4,0,448,1849,0.0,28.95,29.67,10.6,16,11.5
2008-05-02,1,74,51,63,55,58,2,0,447,1850,1.28,28.79,29.53,13.8,20,15.1
2008-05-03,1,56,43,50,41,46,15,0,446,1851,0.005,29.01,29.69,10.4,25,12.7
2008-05-04,1,65,38,52,34,45,13,0,444,1852,0.0,29.31,30.02,5.6,24,6.3
2008-05-05,1,75,50,63,38,50,2,0,443,1853,0.0,29.27,29.99,4.4,26,7.0
2008-05-06,1,81,46,64,44,55,1,0,442,1855,0.0,29.16,29.88,6.3,22,7.1
2008-05-07,1,70,49,60,52,56,5,0,441,1856,0.76,28.97,29.69,3.5,23,12.3
2008-05-08,1,59,45,52,35,44,13,0,439,1857,0.0,29.08,29.82,12.2,5,12.6
2008-05-09,1,58,41,50,34,43,15,0,438,1858,0.0,29.15,29.85,6.3,3,6.9
2008-05-10,1,61,38,50,37,45,15,0,437,1859,0.0,29.08,29.85,5.9,7,6.3
2008-05-11,1,58,46,52,43,47,13,0,436,1860,0.95,28.85,29.55,14.5,2,17.7
2008-05-12,1,56,40,48,38,43,17,0,435,1901,0.0,29.26,29.96,5.1,7,7.8
2008-05-13,1,73,40,57,45,51,8,0,434,1902,0.08,29.2,29.93,15.5,18,15.9
2008-05-14,1,64,45,55,48,52,10,0,433,1903,0.02,29.19,29.89,2.0,25,9.6
2008-05-15,1,57,43,50,37,45,15,0,432,1904,0.0,29.33,30.05,6.8,5,7.9
2008-05-16,1,73,40,57,41,50,8,0,431,1905,0.0,29.1,29.86,8.9,25,9.4
2008-05-17,1,73,52,63,41,52,2,0,430,1906,0.12,28.87,29.61,12.9,30,14.7
2008-05-18,1,55,44,50,39,45,15,0,429,1907,0.0,28.93,29.64,3.5,34,8.2
2008-05-19,1,60,40,50,33,43,15,0,428,1908,0.005,28.96,29.69,3.9,7,5.7
2008-05-20,1,66,47,57,37,47,8,0,427,1909,0.0,28.94,29.66,7.3,31,9.2
2008-05-21,1,66,41,54,36,46,11,0,426,1910,0.0,29.0,29.7,7.2,32,9.2
2008-05-22,1,59,45,52,38,45,13,0,425,1911,0.0,29.24,29.94,8.8,5,9.8
2008-05-23,1,57,46,52,39,45,13,0,425,1912,0.0,29.41,30.12,10.7,3,10.9
2008-05-24,1,67,40,54,40,48,11,0,424,1913,0.0,29.44,30.18,7.4,7,8.4
2008-05-25,1,78,44,61,50,57,4,0,423,1914,0.005,29.18,29.93,10.3,18,11.9
2008-05-26,1,81,47,64,60,64,1,0,422,1915,0.48,29.11,29.81,6.2,25,11.8
2008-05-27,1,50,42,46,35,42,19,0,422,1916,0.0,29.5,30.19,19.2,3,19.3
2008-05-28,1,62,43,53,32,43,12,0,421,1916,0.0,29.6,30.34,8.2,6,8.7
2008-05-29,1,67,42,55,37,47,10,0,421,1917,0.01,29.39,30.16,3.5,11,4.2
2008-05-30,1,77,55,66,59,62,0,1,420,1918,0.4,29.03,29.79,8.4,21,10.4
2008-05-31,1,79,59,69,56,62,0,4,420,1919,0.0,29.1,29.8,10.8,28,11.9
2008-06-01,1,74,53,64,47,55,1,0,419,1920,0.0,29.23,29.95,4.6,10,5.4
2008-06-02,1,86,56,71,52,60,0,6,419,1920,0.005,29.16,29.89,1.9,8,4.8
2008-06-03,1,69,55,62,55,57,3,0,418,1921,0.52,28.97,29.69,7.3,4,9.2
2008-06-04,1,78,54,66,59,61,0,1,418,1922,0.005,28.9,29.62,4.5,4,5.2
2008-06-05,1,87,60,74,68,71,0,9,417,1923,0.64,29.0,29.7,11.5,20,14.0
2008-06-06,1,87,73,80,68,72,0,15,417,1923,0.005,29.07,29.76,21.1,20,21.5
2008-06-07,1,85,69,77,71,73,0,12,417,1924,0.11,29.16,29.86,12.5,19,13.2
2008-06-08,1,85,64,75,68,70,0,10,417,1925,1.24,29.11,29.81,6.5,18,12.2
2008-06-09,1,74,65,70,64,66,0,5,416,1925,0.14,29.1,29.82,6.3,22,7.7
2008-06-10,1,79,59,69,56,61,0,4,416,1926,0.005,29.18,29.89,8.8,25,9.6
2008-06-11,1,86,61,74,56,64,0,9,416,1926,0.0,29.28,29.99,8.9,18,10.0
2008-06-12,1,91,73,82,63,69,0,17,416,1927,0.0,29.2,29.9,16.1,18,16.3
2008-06-13,1,82,65,74,62,66,0,9,416,1927,0.39,29.21,29.92,8.9,22,9.9
2008-06-14,1,84,59,72,53,61,0,7,416,1928,0.0,29.23,29.94,8.3,24,8.8
2008-06-15,1,81,61,71,60,64,0,6,416,1928,0.18,29.15,29.84,8.1,24,9.8
2008-06-16,1,72,59,66,49,57,0,1,416,1929,0.0,29.2,29.91,10.7,31,11.2
2008-06-17,1,76,55,66,46,55,0,1,416,1929,0.0,29.26,29.97,10.7,30,11.2
2008-06-18,1,77,56,67,48,56,0,2,416,1929,0.0,29.21,29.92,4.8,3,7.3
2008-06-19,1,81,52,67,46,56,0,2,416,1930,0.0,29.21,29.93,1.8,25,5.1
2008-06-20,1,82,58,70,53,60,0,5,416,1930,0.09,29.25,29.96,6.7,22,7.9
2008-06-21,1,82,61,72,52,61,0,7,416,1930,0.01,29.24,29.95,7.1,29,7.8
2008-06-22,1,82,57,70,52,59,0,5,417,1931,0.16,29.18,29.89,2.9,31,5.1
2008-06-23,1,77,56,67,54,59,0,2,417,1931,0.0,29.33,30.04,3.9,4,6.4
2008-06-24,1,82,55,69,53,60,0,4,417,1931,0.0,29.44,30.15,5.1,18,5.8
2008-06-25,1,79,66,73,64,67,0,8,417,1931,0.08,29.28,29.99,8.0,22,9.3
2008-06-26,1,86,70,78,66,70,0,13,418,1931,0.0,29.15,29.86,6.3,26,7.3
2008-06-27,1,84,66,75,67,70,0,10,418,1931,0.005,29.05,29.76,6.7,22,7.4
2008-06-28,1,83,64,74,55,63,0,9,419,1931,0.04,28.98,29.69,12.1,25,13.2
2008-06-29,1,75,60,68,58,61,0,3,419,1931,0.58,29.08,29.77,7.3,31,9.7
2008-06-30,1,80,59,70,50,58,0,5,419,1931,0.0,29.28,29.98,6.0,34,9.6
2008-07-01,1,83,58,71,51,60,0,6,420,1931,0.0,29.24,29.97,8.1,24,8.0
2008-07-02,1,87,63,75,62,66,0,10,420,1931,0.2,29.09,29.79,8.7,23,13.2
2008-07-03,1,71,55,63,51,57,2,0,421,1931,0.005,29.34,30.04,11.6,3,12.0
2008-07-04,1,76,52,64,50,57,1,0,422,1930,0.0,29.35,30.06,6.0,5,6.6
2008-07-05,1,80,54,67,52,59,0,2,422,1930,0.0,29.31,30.03,4.6,7,7.0
2008-07-06,1,87,59,73,57,65,0,8,423,1930,0.0,29.21,29.94,9.3,19,9.4
2008-07-07,1,87,71,79,67,71,0,14,423,1930,0.03,29.16,29.87,10.9,22,11.9
2008-07-08,1,85,70,78,67,71,0,13,424,1929,0.03,29.1,29.81,7.8,26,9.1
2008-07-09,1,85,67,76,55,63,0,11,425,1929,0.005,29.26,29.95,9.5,31,10.3
2008-07-10,1,82,64,73,63,66,0,8,425,1929,0.72,29.26,29.99,8.5,23,9.2
2008-07-11,1,88,64,76,65,69,0,11,426,1928,0.34,29.23,29.97,5.2,20,8.4
2008-07-12,1,81,65,73,63,66,0,8,427,1928,0.73,29.19,29.89,7.7,26,10.3
2008-07-13,1,79,62,71,54,61,0,6,428,1927,0.0,29.12,29.84,12.1,27,12.4
2008-07-14,1,84,62,73,54,62,0,8,428,1927,0.0,29.22,29.92,4.5,29,7.8
2008-07-15,1,90,61,76,62,68,0,11,429,1926,0.0,29.3,30.0,6.8,23,7.4
2008-07-16,1,90,71,81,66,70,0,16,430,1925,0.0,29.39,30.09,5.0,23,7.2
2008-07-17,1,89,71,80,66,71,0,15,431,1925,0.0,29.33,30.05,8.6,22,9.0
2008-07-18,1,86,74,80,68,72,0,15,432,1924,0.04,29.24,29.95,2.6,22,5.4
2008-07-19,1,78,67,73,68,69,0,8,433,1923,1.61,29.19,29.91,2.0,33,5.8
2008-07-20,1,86,68,77,68,71,0,12,433,1923,0.74,29.2,29.91,4.5,25,5.7
2008-07-21,1,83,68,76,65,68,0,11,434,1922,0.13,29.21,29.92,3.3,3,7.4
2008-07-22,1,77,63,70,59,64,0,5,435,1921,0.005,29.31,30.0,8.2,3,8.7
2008-07-23,1,81,60,71,52,60,0,6,436,1920,0.0,29.39,30.1,7.6,2,8.5
2008-07-24,1,82,59,71,53,61,0,6,437,1919,0.0,29.33,30.05,3.9,24,4.4
2008-07-25,1,82,61,72,63,67,0,7,438,1918,0.0,29.26,29.99,5.5,23,6.9
2008-07-26,1,84,65,75,58,65,0,10,439,1918,0.0,29.22,29.94,8.5,31,9.1
2008-07-27,1,83,62,73,58,64,0,8,440,1917,0.0,29.16,29.89,5.9,24,6.7
2008-07-28,1,85,66,76,63,67,0,11,441,1916,0.0,29.16,29.87,4.0,7,6.1
2008-07-29,1,88,65,77,67,70,0,12,442,1915,0.05,29.14,29.85,6.4,20,7.9
2008-07-30,1,89,72,81,65,70,0,16,443,1914,0.0,29.04,29.75,7.8,27,8.6
2008-07-31,1,89,72,81,67,70,0,16,444,1913,0.14,29.06,29.76,4.9,27,5.8
