Date,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,DewPoint_y,ResultSpeed_y,ResultDir_y
2007-06-24,77,63,70,-1,62,0,5,0417,1931,0,7.0,9,8.0,75,65,62,5.6,10
2007-06-25,89,65,77,6,66,0,12,0417,1931,0,3.9,14,6.8,86,67,67,4.0,12
2007-06-26,92,70,81,10,69,0,16,0418,1931,0,6.1,22,7.1,91,73,69,7.3,21
2007-06-27,91,71,81,10,70,0,16,0418,1931,0,7.5,24,8.8,89,71,69,7.9,24
2007-06-28,74,58,66,-5,55,0,1,0419,1931,0,11.9,3,12.5,73,61,56,12.2,2
2007-06-29,70,56,63,-8,55,2,0,0419,1931,0,7.6,2,8.3,71,56,56,7.4,2
2007-06-30,79,54,67,-5,46,0,2,0419,1931,0,4.9,3,5.8,77,58,49,5.1,4
2007-07-01,75,54,65,-7,52,0,0,0420,1931,0,8.6,4,8.6,76,61,51,9.5,4
2007-07-02,79,53,66,-6,50,0,1,0420,1931,0,5.9,14,8.1,77,58,50,7.4,12
2007-07-03,83,60,72,0,57,0,7,0421,1931,0,6.7,21,7.3,83,63,56,6.4,21
2007-07-04,86,67,77,5,65,0,12,0422,1930,0,4.6,27,8.2,84,67,65,3.1,25
2007-07-05,89,71,80,8,60,0,15,0422,1930,0,6.4,31,8.1,88,70,60,4.3,33
2007-07-06,86,66,76,4,57,0,11,0423,1930,0,3.2,5,5.5,84,68,57,3.3,7
2007-07-07,90,64,77,5,63,0,12,0423,1930,0,8.4,22,8.6,88,68,62,7.4,23
2007-07-08,94,75,85,12,67,0,20,0424,1929,0,12.9,24,13.1,93,75,67,12.6,23
2007-07-09,94,70,82,9,66,0,17,0425,1929,0,4.9,24,8.8,93,72,67,4.8,23
2007-07-10,89,69,79,6,67,0,14,0425,1929,0,8.6,23,10.5,89,70,67,8.2,23
2007-07-11,77,62,70,-3,51,0,5,0426,1928,0,8.8,30,10.9,77,63,51,9.1,30
2007-07-12,80,61,71,-2,51,0,6,0427,1928,0,9.4,29,11.1,80,60,51,10.0,28
2007-07-13,78,58,68,-5,52,0,3,0428,1927,0,1.4,1,5.3,74,59,53,2.0,7
2007-07-14,84,61,73,0,55,0,8,0428,1927,0,8.3,26,13.2,85,62,55,8.4,25
2007-07-15,82,60,71,-3,53,0,6,0429,1926,0,2.1,29,4.9,80,64,52,1.2,9
2007-07-16,82,65,74,0,60,0,9,0430,1925,0,4.4,24,5.2,82,66,60,5.6,23
2007-07-17,83,68,76,2,66,0,11,0431,1925,0,5.2,23,6.5,83,69,65,6.3,23
2007-07-18,85,69,77,3,68,0,12,0432,1924,0,9.1,24,10.1,85,69,69,10.3,24
2007-07-19,83,63,73,-1,63,0,8,0433,1923,0,7.0,1,11.9,82,63,62,7.7,36
2007-07-20,75,58,67,-7,53,0,2,0433,1923,0,8.6,3,9.1,74,62,52,11.3,4
2007-07-21,74,58,66,-8,52,0,1,0434,1922,0,6.5,3,7.4,75,58,52,5.8,4
2007-07-22,81,58,70,-4,55,0,5,0435,1921,0,1.7,16,3.3,81,61,54,1.9,18
2007-07-23,83,60,72,-2,55,0,7,0436,1920,0,3.2,9,4.0,82,63,55,2.9,12
2007-07-24,82,65,74,0,58,0,9,0437,1919,0,3.1,20,5.2,82,65,57,1.1,21
2007-07-25,85,71,78,4,61,0,13,0438,1918,0,5.8,25,6.6,83,70,60,6.4,23
2007-07-26,83,66,75,1,65,0,10,0439,1918,0,7.2,22,9.4,84,64,65,7.2,22
2007-07-27,83,70,77,3,68,0,12,0440,1917,0,3.0,3,7.9,83,70,67,1.2,36
2007-07-28,80,66,73,-1,65,0,8,0441,1916,0,10.0,3,10.2,80,70,65,10.6,3
2007-07-29,85,63,74,0,57,0,9,0442,1915,0,4.8,5,5.7,85,67,56,6.3,5
2007-07-30,89,62,76,2,55,0,11,0443,1914,0,3.8,6,4.3,86,65,57,3.1,6
2007-07-31,91,68,80,6,61,0,15,0444,1913,0,3.3,4,4.9,89,69,60,4.0,7
2007-08-01,92,69,81,8,62,0,16,0445,1911,0,3.5,9,4.1,91,69,63,2.1,13
2007-08-02,91,70,81,8,66,0,16,0446,1910,0,5.5,26,5.9,91,73,66,6.5,23
2007-08-03,90,69,80,7,56,0,15,0447,1909,0,2.7,3,5.7,88,73,58,3.3,6
2007-08-04,81,64,73,0,58,0,8,0448,1908,0,5.7,8,6.1,81,68,58,5.9,9
2007-08-05,88,67,78,5,71,0,13,0449,1907,0,5.4,21,9.6,88,68,71,7.0,22
2007-08-06,88,74,81,8,72,0,16,0450,1906,0,1.6,10,4.9,85,75,72,2.6,10
2007-08-07,91,72,82,9,73,0,17,0451,1904,0,6.2,25,9.0,92,73,73,6.3,24
2007-08-08,87,73,80,7,71,0,15,0452,1903,0,3.0,3,6.9,87,74,72,1.5,4
2007-08-09,84,72,78,5,71,0,13,0453,1902,0,2.5,29,6.0,85,73,71,3.1,27
2007-08-10,86,70,78,5,68,0,13,0454,1900,0,4.5,2,5.9,86,73,69,3.0,6
2007-08-11,89,67,78,5,65,0,13,0455,1859,0,3.2,19,3.9,88,68,65,3.1,20
2007-08-12,88,67,78,5,67,0,13,0456,1858,0,1.7,6,5.4,87,68,67,1.9,6
2007-08-13,81,65,73,0,57,0,8,0457,1856,0,6.2,6,6.9,80,69,54,6.9,8
2007-08-14,84,65,75,3,67,0,10,0458,1855,0,5.9,25,8.0,84,65,66,6.4,23
2007-08-15,80,71,76,4,67,0,11,0459,1854,0,3.4,7,5.8,81,72,69,4.9,6
2007-08-16,77,65,71,-1,64,0,6,0500,1852,0,3.6,1,5.7,77,67,65,3.5,1
2007-08-17,79,60,70,-2,54,0,5,0501,1851,0,5.9,32,6.8,80,65,54,6.1,31
2007-08-18,68,59,64,-8,54,1,0,0502,1849,0,6.4,12,8.1,69,60,54,6.1,13
2007-08-19,68,62,65,-6,62,0,0,0503,1848,0,6.0,10,7.4,69,62,63,5.5,10
2007-08-20,78,68,73,2,68,0,8,0504,1846,0,0.5,12,5.7,76,68,69,2.4,20
2007-08-21,87,69,78,7,70,0,13,0505,1845,0,3.8,18,6.0,85,69,70,3.5,17
2007-08-22,90,69,80,9,71,0,15,0506,1843,0,5.3,21,9.5,90,70,70,5.1,21
2007-08-23,87,69,78,7,69,0,13,0508,1842,0,9.6,21,11.7,89,70,69,6.7,21
2007-08-24,80,69,75,4,67,0,10,0509,1840,0,5.8,25,7.1,81,69,67,5.5,25
2007-08-25,79,64,72,2,63,0,7,0510,1839,0,3.0,36,5.6,76,65,63,2.4,3
2007-08-26,79,60,70,0,55,0,5,0511,1837,0,3.6,11,5.4,78,61,55,3.7,11
2007-08-27,79,60,70,0,60,0,5,0512,1835,0,6.5,17,7.4,79,63,59,6.4,16
2007-08-28,91,67,79,9,66,0,14,0513,1834,0,9.0,20,9.5,90,69,65,7.8,21
2007-08-29,85,68,77,7,65,0,12,0514,1832,0,5.6,3,8.2,86,69,64,5.3,3
2007-08-30,75,57,66,-4,54,0,1,0515,1831,0,9.1,2,9.9,75,60,54,10.8,3
2007-08-31,77,57,67,-2,52,0,2,0516,1829,0,3.9,4,5.2,76,57,54,3.0,6
2007-09-01,81,57,69,1,55,0,4,0517,1827,0,4.2,11,5.0,79,60,56,4.4,11
2007-09-02,85,61,73,5,57,0,8,0518,1826,0,4.2,21,5.0,84,62,56,4.8,21
2007-09-03,88,66,77,9,61,0,12,0519,1824,0,2.0,27,5.8,88,64,61,3.0,25
2007-09-04,89,63,76,8,60,0,11,0520,1822,0,2.8,22,4.3,90,67,59,2.2,24
2007-09-05,90,66,78,11,63,0,13,0521,1821,0,6.4,19,6.5,91,72,62,6.4,19
2007-09-06,82,73,78,11,67,0,13,0522,1819,0,11.9,20,12.1,84,74,66,12.8,20
2007-09-07,84,70,77,10,68,0,12,0523,1817,0,10.4,23,13.9,84,71,67,9.5,23
2007-09-08,78,64,71,5,57,0,6,0524,1815,0,6.0,5,7.2,78,68,58,8.4,5
2007-09-09,80,63,72,6,59,0,7,0525,1814,0,9.2,3,9.9,79,63,59,10.1,3
2007-09-10,74,54,64,-2,58,1,0,0526,1812,0,7.2,2,9.0,73,55,59,7.4,3
2007-09-11,71,50,61,-4,44,4,0,0527,1810,0,11.7,29,13.5,71,51,44,12.1,29
2007-09-12,67,46,57,-8,42,8,0,0528,1809,0,1.8,3,5.6,66,46,43,1.9,5
2007-09-13,78,50,64,-1,45,1,0,0529,1807,0,8.3,19,8.5,79,53,43,7.1,20
2007-09-14,66,45,56,-8,39,9,0,0530,1805,0,12.1,32,13.4,67,47,40,11.7,32
2007-09-15,61,39,50,-14,33,15,0,0531,1803,0,1.4,33,5.9,62,42,35,1.1,35
2007-09-16,71,44,58,-6,40,7,0,0532,1760,0,6.8,18,7.4,72,49,38,7.7,18
2007-09-17,80,52,66,2,49,0,1,0533,1758,0,11.7,17,12.1,80,55,48,10.6,17
2007-09-18,88,63,76,12,58,0,11,0535,1756,0,12.9,19,13.1,89,66,57,12.5,19
2007-09-19,84,65,75,12,59,0,10,0536,1755,0,5.0,26,9.7,84,68,59,3.5,25
2007-09-20,78,60,69,7,59,0,4,0537,1753,0,5.3,7,6.6,76,63,59,5.6,8
2007-09-21,88,64,76,14,59,0,11,0538,1751,0,10.3,21,12.4,90,68,59,9.8,22
2007-09-22,74,51,63,1,43,2,0,0539,1749,0,2.6,3,6.8,72,58,45,4.3,1
2007-09-23,84,50,67,6,50,0,2,0540,1748,0,4.6,13,5.3,83,55,50,5.9,12
2007-09-24,90,68,79,18,63,0,14,0541,1746,0,11.4,19,11.9,91,71,62,10.0,19
2007-09-25,85,63,74,13,65,0,9,0542,1744,0,7.9,23,10.5,83,67,66,7.3,23
2007-09-26,69,53,61,1,50,4,0,0543,1742,0,4.3,1,6.6,68,55,51,4.8,2
2007-09-27,75,49,62,2,49,3,0,0544,1741,0,4.9,24,6.5,74,52,49,4.5,25
2007-09-28,73,53,63,4,46,2,0,0545,1739,0,2.3,4,7.1,73,53,46,3.1,7
2007-09-29,80,50,65,6,46,0,0,0546,1737,0,9.5,17,9.8,82,52,45,8.4,17
2007-09-30,83,59,71,12,49,0,6,0547,1735,0,14.4,19,14.6,84,61,48,12.9,19
2007-10-01,69,59,64,6,59,1,0,0548,1734,0,6.1,22,8.1,68,59,59,7.9,21
2007-10-02,78,57,68,10,59,0,3,0549,1732,0,10.8,19,11.1,80,59,59,10.0,19
2007-10-03,74,55,65,8,48,0,0,0550,1730,0,5.9,26,7.1,74,56,47,4.8,25
2007-10-04,82,51,67,10,56,0,2,0552,1729,0,3.9,17,4.6,83,56,56,4.6,17
2007-10-05,84,62,73,16,65,0,8,0553,1727,0,7.0,17,7.0,85,68,65,6.8,18
2007-10-06,87,69,78,22,67,0,13,0554,1725,0,6.9,20,7.4,88,71,66,6.4,21
2007-10-07,87,67,77,21,66,0,12,0555,1724,0,5.2,19,5.9,88,70,65,5.3,19
2007-10-08,87,60,74,18,61,0,9,0556,1722,0,7.7,24,10.1,88,62,60,7.3,24
2007-10-09,76,49,63,8,44,2,0,0557,1720,0,11.5,28,12.8,77,50,44,12.1,28
2007-10-10,54,47,51,-4,38,14,0,0558,1719,0,15.1,31,15.5,53,47,37,14.4,31
2007-10-11,54,46,50,-4,39,15,0,0559,1717,0,11.9,36,12.9,56,48,39,14.6,36
2007-10-12,56,41,49,-5,35,16,0,0600,1715,0,3.4,35,4.6,57,45,35,2.8,36
2007-10-13,59,40,50,-3,41,15,0,0602,1714,0,2.7,20,3.5,59,44,40,3.6,21
2007-10-14,61,53,57,4,49,8,0,0603,1712,0,5.6,11,6.6,63,55,47,5.7,12
2007-10-15,74,51,63,10,52,2,0,0604,1711,0,4.1,14,5.6,77,55,50,6.6,16
2007-10-16,67,52,60,8,54,5,0,0605,1709,0,6.4,21,7.5,68,56,55,6.5,21
2007-10-17,72,47,60,8,53,5,0,0606,1707,0,9.3,14,9.8,74,50,53,8.6,14
2007-10-18,78,59,69,18,56,0,4,0607,1706,0,17.2,19,18.9,79,60,57,15.5,19
2007-10-19,60,52,56,5,48,9,0,0608,1704,0,16.2,24,16.7,61,53,48,17.7,24
2007-10-20,73,47,60,10,43,5,0,0610,1703,0,10.9,21,12.0,74,47,43,11.1,21
2007-10-21,80,60,70,20,47,0,5,0611,1701,0,18.0,20,18.2,79,61,46,16.7,20
2007-10-22,67,46,57,7,47,8,0,0612,1660,0,5.2,36,9.2,66,47,47,5.8,1
2007-10-23,58,43,51,2,36,14,0,0613,1658,0,5.2,31,8.2,53,46,39,4.0,31
2007-10-24,55,43,49,0,35,16,0,0614,1657,0,13.3,2,14.5,53,45,35,16.0,2
2007-10-25,55,45,50,2,39,15,0,0616,1656,0,13.9,6,14.1,57,45,40,14.5,6
2007-10-26,65,53,59,11,48,6,0,0617,1654,0,6.2,5,6.9,66,53,49,4.2,6
2007-10-27,55,37,46,-2,38,19,0,0618,1653,0,9.4,32,9.9,57,39,41,7.9,31
2007-10-28,56,34,45,-2,30,20,0,0619,1651,0,3.4,23,4.2,56,34,30,3.5,23
2007-10-29,61,39,50,3,32,15,0,0620,1650,0,10.2,22,10.4,60,39,32,9.1,22
2007-10-30,66,41,54,8,38,11,0,0622,1649,0,12.2,20,12.5,66,42,37,10.8,20
2007-10-31,62,41,52,6,37,13,0,0623,1647,0,12.2,25,14.3,63,43,38,12.2,25
2008-05-01,74,48,61,8,51,4,0,0448,1849,0,10.6,16,11.5,73,48,51,9.8,17
2008-05-02,74,51,63,9,55,2,0,0447,1850,0,13.8,20,15.1,74,55,56,11.9,19
2008-05-03,56,43,50,-4,41,15,0,0446,1851,0,10.4,25,12.7,56,44,42,11.2,25
2008-05-04,65,38,52,-2,34,13,0,0444,1852,0,5.6,24,6.3,66,39,33,5.1,23
2008-05-05,75,50,63,8,38,2,0,0443,1853,0,4.4,26,7.0,74,50,38,3.7,23
2008-05-06,81,46,64,9,44,1,0,0442,1855,0,6.3,22,7.1,82,52,43,6.9,22
2008-05-07,70,49,60,5,52,5,0,0441,1856,0,3.5,23,12.3,71,50,53,1.9,22
2008-05-08,59,45,52,-4,35,13,0,0439,1857,0,12.2,5,12.6,59,47,36,14.3,5
2008-05-09,58,41,50,-6,34,15,0,0438,1858,0,6.3,3,6.9,58,42,35,6.5,3
2008-05-10,61,38,50,-6,37,15,0,0437,1859,0,5.9,7,6.3,61,41,39,6.0,8
2008-05-11,58,46,52,-5,43,13,0,0436,1860,0,14.5,2,17.7,60,47,44,14.3,2
2008-05-12,56,40,48,-9,38,17,0,0435,1901,0,5.1,7,7.8,53,41,39,4.9,6
2008-05-13,73,40,57,-1,45,8,0,0434,1902,0,15.5,18,15.9,73,45,45,13.7,18
2008-05-14,64,45,55,-3,48,10,0,0433,1903,0,2.0,25,9.6,61,46,49,2.5,21
2008-05-15,57,43,50,-8,37,15,0,0432,1904,0,6.8,5,7.9,57,43,37,7.5,5
2008-05-16,73,40,57,-2,41,8,0,0431,1905,0,8.9,25,9.4,72,41,41,8.3,25
2008-05-17,73,52,63,4,41,2,0,0430,1906,0,12.9,30,14.7,73,50,41,11.2,29
2008-05-18,55,44,50,-10,39,15,0,0429,1907,0,3.5,34,8.2,55,45,40,1.6,35
2008-05-19,60,40,50,-10,33,15,0,0428,1908,0,3.9,7,5.7,59,42,34,4.4,7
2008-05-20,66,47,57,-4,37,8,0,0427,1909,0,7.3,31,9.2,64,49,37,6.9,30
2008-05-21,66,41,54,-7,36,11,0,0426,1910,0,7.2,32,9.2,65,45,36,6.8,33
2008-05-22,59,45,52,-9,38,13,0,0425,1911,0,8.8,5,9.8,56,47,38,10.5,5
2008-05-23,57,46,52,-9,39,13,0,0425,1912,0,10.7,3,10.9,59,48,40,10.4,3
2008-05-24,67,40,54,-8,40,11,0,0424,1913,0,7.4,7,8.4,68,44,38,6.9,7
2008-05-25,78,44,61,-1,50,4,0,0423,1914,0,10.3,18,11.9,78,51,48,11.1,17
2008-05-26,81,47,64,2,60,1,0,0422,1915,0,6.2,25,11.8,84,53,60,7.3,24
2008-05-27,50,42,46,-16,35,19,0,0422,1916,0,19.2,3,19.3,53,45,36,18.0,2
2008-05-28,62,43,53,-10,32,12,0,0421,1916,0,8.2,6,8.7,61,45,35,7.8,7
2008-05-29,67,42,55,-9,37,10,0,0421,1917,0,3.5,11,4.2,68,45,38,2.2,10
2008-05-30,77,55,66,2,59,0,1,0420,1918,0,8.4,21,10.4,77,58,60,9.4,20
2008-05-31,79,59,69,5,56,0,4,0420,1919,0,10.8,28,11.9,79,60,56,11.1,28
2008-06-01,74,53,64,0,47,1,0,0419,1920,0,4.6,10,5.4,71,56,46,5.6,8
2008-06-02,86,56,71,7,52,0,6,0419,1920,0,1.9,8,4.8,85,61,53,1.7,13
2008-06-03,69,55,62,-2,55,3,0,0418,1921,0,7.3,4,9.2,74,57,58,5.2,3
2008-06-04,78,54,66,2,59,0,1,0418,1922,0,4.5,4,5.2,78,59,61,3.1,5
2008-06-05,87,60,74,9,68,0,9,0417,1923,0,11.5,20,14.0,88,68,69,13.2,20
2008-06-06,87,73,80,14,68,0,15,0417,1923,0,21.1,20,21.5,86,73,69,19.2,20
2008-06-07,85,69,77,11,71,0,12,0417,1924,0,12.5,19,13.2,84,72,71,11.8,19
2008-06-08,85,64,75,9,68,0,10,0417,1925,0,6.5,18,12.2,87,65,69,4.2,19
2008-06-09,74,65,70,4,64,0,5,0416,1925,0,6.3,22,7.7,74,65,64,6.5,23
2008-06-10,79,59,69,2,56,0,4,0416,1926,0,8.8,25,9.6,80,60,56,9.3,25
2008-06-11,86,61,74,7,56,0,9,0416,1926,0,8.9,18,10.0,86,66,55,9.4,18
2008-06-12,91,73,82,14,63,0,17,0416,1927,0,16.1,18,16.3,91,73,63,14.8,18
2008-06-13,82,65,74,6,62,0,9,0416,1927,0,8.9,22,9.9,82,66,63,9.6,23
2008-06-14,84,59,72,4,53,0,7,0416,1928,0,8.3,24,8.8,84,61,52,8.7,24
2008-06-15,81,61,71,3,60,0,6,0416,1928,0,8.1,24,9.8,82,60,60,8.4,24
2008-06-16,72,59,66,-3,49,0,1,0416,1929,0,10.7,31,11.2,74,60,49,10.8,31
2008-06-17,76,55,66,-3,46,0,1,0416,1929,0,10.7,30,11.2,76,56,46,10.2,30
2008-06-18,77,56,67,-3,48,0,2,0416,1929,0,4.8,3,7.3,75,58,49,5.0,5
2008-06-19,81,52,67,-3,46,0,2,0416,1930,0,1.8,25,5.1,80,55,47,1.5,14
2008-06-20,82,58,70,0,53,0,5,0416,1930,0,6.7,22,7.9,83,60,52,6.5,23
2008-06-21,82,61,72,2,52,0,7,0416,1930,0,7.1,29,7.8,83,62,53,5.6,29
2008-06-22,82,57,70,0,52,0,5,0417,1931,0,2.9,31,5.1,81,61,53,1.5,34
2008-06-23,77,56,67,-3,54,0,2,0417,1931,0,3.9,4,6.4,76,57,54,3.8,3
2008-06-24,82,55,69,-2,53,0,4,0417,1931,0,5.1,18,5.8,82,57,52,4.3,18
2008-06-25,79,66,73,2,64,0,8,0417,1931,0,8.0,22,9.3,79,67,65,7.5,21
2008-06-26,86,70,78,7,66,0,13,0418,1931,0,6.3,26,7.3,87,71,67,6.8,25
2008-06-27,84,66,75,4,67,0,10,0418,1931,0,6.7,22,7.4,85,69,67,8.3,21
2008-06-28,83,64,74,3,55,0,9,0419,1931,0,12.1,25,13.2,84,66,55,13.3,26
2008-06-29,75,60,68,-3,58,0,3,0419,1931,0,7.3,31,9.7,77,61,58,7.9,30
2008-06-30,80,59,70,-2,50,0,5,0419,1931,0,6.0,34,9.6,81,59,49,5.5,35
2008-07-01,83,58,71,-1,51,0,6,0420,1931,0,8.1,24,8.0,84,57,50,8.2,23
2008-07-02,87,63,75,3,62,0,10,0420,1931,0,8.7,23,13.2,89,63,62,7.4,24
2008-07-03,71,55,63,-9,51,2,0,0421,1931,0,11.6,3,12.0,71,59,51,13.3,3
2008-07-04,76,52,64,-8,50,1,0,0422,1930,0,6.0,5,6.6,75,58,50,6.5,6
2008-07-05,80,54,67,-5,52,0,2,0422,1930,0,4.6,7,7.0,79,57,52,4.7,10
2008-07-06,87,59,73,1,57,0,8,0423,1930,0,9.3,19,9.4,88,63,58,8.3,19
2008-07-07,87,71,79,7,67,0,14,0423,1930,0,10.9,22,11.9,87,74,68,10.8,21
2008-07-08,85,70,78,5,67,0,13,0424,1929,0,7.8,26,9.1,86,46,68,7.4,24
2008-07-09,85,67,76,3,55,0,11,0425,1929,0,9.5,31,10.3,85,67,55,8.1,32
2008-07-10,82,64,73,0,63,0,8,0425,1929,0,8.5,23,9.2,84,64,62,8.1,23
2008-07-11,88,64,76,3,65,0,11,0426,1928,0,5.2,20,8.4,89,64,65,3.7,19
2008-07-12,81,65,73,0,63,0,8,0427,1928,0,7.7,26,10.3,83,66,64,8.4,26
2008-07-13,79,62,71,-2,54,0,6,0428,1927,0,12.1,27,12.4,79,61,53,13.6,27
2008-07-14,84,62,73,0,54,0,8,0428,1927,0,4.5,29,7.8,84,62,54,1.9,29
2008-07-15,90,61,76,2,62,0,11,0429,1926,0,6.8,23,7.4,91,67,63,7.8,22
2008-07-16,90,71,81,7,66,0,16,0430,1925,0,5.0,23,7.2,91,73,67,5.2,21
2008-07-17,89,71,80,6,66,0,15,0431,1925,0,8.6,22,9.0,90,74,66,8.9,22
2008-07-18,86,74,80,6,68,0,15,0432,1924,0,2.6,22,5.4,91,73,67,6.8,23
2008-07-19,78,67,73,-1,68,0,8,0433,1923,0,2.0,33,5.8,80,70,70,1.1,23
2008-07-20,86,68,77,3,68,0,12,0433,1923,0,4.5,25,5.7,86,68,68,6.1,27
2008-07-21,83,68,76,2,65,0,11,0434,1922,0,3.3,3,7.4,84,70,66,2.4,2
2008-07-22,77,63,70,-4,59,0,5,0435,1921,0,8.2,3,8.7,75,66,61,8.6,3
